MovieName,MovieYear,MovieReleaseDate
107. Double Indemnity,1944,"July 6, 1944 (United States)"
105. Vertigo,1958,"October 30, 2014 (India)"
103. Citizen Kane,1941,"October 13, 2020 (India)"
106. M - Eine Stadt sucht einen Mörder,1931,"August 31, 1931 (Sweden)"
102. North by Northwest,1959,"December 18, 1959 (United States)"
104. Incendies,2010,"September 12, 2020 (India)"
101. The Apartment,1960,"June 29, 1960 (Canada)"
100. Lawrence of Arabia,1962,"July 30, 2016 (India)"
99. Ikiru,1952,"October 9, 1952 (Japan)"
97. 2001: A Space Odyssey,1968,"October 4, 2017 (India)"
95. Eternal Sunshine of the Spotless Mind,2004,"December 15, 2019 (India)"
96. Jagten,2012,"January 10, 2013 (Denmark)"
94. Star Wars: Episode VI - Return of the Jedi,1983,"December 16, 1983 (India)"
93. Toy Story 3,2010,"June 25, 2010 (India)"
92. Idi I Smotri,1985,"September 3, 1985 (Philippines)"
91. Requiem for a Dream,2000,"October 4, 2017 (India)"
90. Oppenheimer,2023,"July 21, 2023 (India)"
89. Capharnaüm,2018,"June 21, 2019 (India)"
87. 3 Idiots,2009,"December 25, 2009 (India)"
88. Singin' in the Rain,1952,"April 10, 1952 (United States)"
98. Reservoir Dogs,1992,"September 2, 1992 (India)"
86. Tengoku to Jigoku,1963,"March 1, 1963 (Japan)"
82. Mononoke-hime,1997,"March 2, 2020 (India)"
84. Kimi No Na Wa.,2016,"August 26, 2016 (Japan)"
81. Joker,2019,"October 2, 2019 (India)"
80. Avengers: Endgame,2019,"April 26, 2019 (India)"
83. Good Will Hunting,1997,"January 9, 1998 (United States)"
79. Braveheart,1995,"June 22, 1995 (India)"
76. Amadeus,1984,"September 19, 1984 (United States)"
77. Toy Story,1995,"November 22, 1995 (United States)"
85. Once Upon a Time in America,1984,"June 1, 1984 (United States)"
74. Oldeuboi,2003,"October 4, 2017 (India)"
75. Coco,2017,"November 24, 2017 (India)"
73. American Beauty,1999,"April 1, 2020 (India)"
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"January 29, 1964 (United Kingdom)"
71. The Dark Knight Rises,2012,"July 20, 2012 (India)"
70. Inglourious Basterds,2009,"October 2, 2009 (India)"
69. Alien 2,1986,"July 11, 1987 (India)"
68. The Great Dictator,1940,"March 7, 1941 (United States)"
67. The Shining,1980,"October 4, 2017 (India)"
66. Witness for the Prosecution,1957,"February 6, 1958 (United States)"
63. Paths of Glory,1957,"December 25, 1957 (United States)"
65. Spider-Man: Into the Spider-Verse,2018,"December 14, 2018 (India)"
64. Avengers: Infinity War,2018,"April 27, 2018 (India)"
62. Sunset Blvd.,1950,"August 4, 1950 (Turkey)"
59. WALL·E,2008,"August 29, 2008 (India)"
58. 12th Fail,2023,"October 27, 2023 (India)"
60. Raiders of the Lost Ark,1981,"December 10, 1981 (India)"
57. Memento,2000,"October 20, 2000 (India)"
55. Apocalypse Now,1979,"August 15, 1979 (United States)"
