142. Casino,2h 58m,"Crime,Drama"
140. Shutter Island,2h 18m,"Drama,Mystery,Thriller"
139. Top Gun: Maverick,2h 10m,"Action,Drama"
138. The Truman Show,1h 43m,"Comedy,Drama"
137. All About Eve,2h 18m,Drama
136. Judgment at Nuremberg,2h 59m,"Drama,War"
135. The Father,1h 37m,"Drama,Mystery"
133. Green Book,2h 10m,"Biography,Comedy,Drama"
130. Batman Begins,2h 20m,"Action,Crime,Drama"
132. Some Like It Hot,2h 1m,"Comedy,Music,Romance"
134. The Kid,1h 8m,"Comedy,Drama,Family"
129. Per qualche dollaro in più,2h 12m,"Drama,Western"
131. The Wolf of Wall Street,3h,"Biography,Comedy,Crime"
128. Dangal,2h 41m,"Action,Biography,Drama"
127. Der Untergang,2h 36m,"Biography,Drama,History"
126. Taxi Driver,1h 54m,"Crime,Drama"
122. Hamilton,2h 40m,"Biography,Drama,History"
124. Ladri Di Biciclette,1h 29m,Drama
121. Snatch,1h 44m,"Comedy,Crime"
125. 1917,1h 59m,"Action,Drama,War"
123. L.A. Confidential,2h 18m,"Crime,Drama,Mystery"
120. Taare Zameen Par,2h 42m,"Drama,Family"
119. Metropolis,2h 33m,"Drama,Sci-Fi"
116. Jodaeiye Nader Az Simin,2h 3m,Drama
117. Indiana Jones and the Last Crusade,2h 7m,"Action,Adventure"
115. The Sting,2h 9m,"Comedy,Crime,Drama"
118. Die Hard,2h 12m,"Action,Thriller"
113. Up,1h 36m,"Animation,Adventure,Comedy"
112. Heat,2h 50m,"Action,Crime,Drama"
110. Full Metal Jacket,1h 56m,"Drama,War"
109. Le fabuleux destin d'Amélie Poulain,2h 2m,"Comedy,Romance"
114. To Kill a Mockingbird,2h 9m,"Crime,Drama"
111. A Clockwork Orange,2h 16m,"Crime,Sci-Fi"
108. Scarface,2h 50m,"Crime,Drama"
107. Double Indemnity,1h 47m,"Crime,Drama,Film-Noir"
105. Vertigo,2h 8m,"Mystery,Romance,Thriller"
104. Incendies,2h 11m,"Drama,Mystery,War"
106. M - Eine Stadt sucht einen Mörder,1h 57m,"Crime,Mystery,Thriller"
102. North by Northwest,2h 16m,"Action,Adventure,Mystery"
103. Citizen Kane,1h 59m,"Drama,Mystery"
101. The Apartment,2h 5m,"Comedy,Drama,Romance"
100. Lawrence of Arabia,3h 38m,"Adventure,Biography,Drama"
99. Ikiru,2h 23m,Drama
97. 2001: A Space Odyssey,2h 29m,"Adventure,Sci-Fi"
95. Eternal Sunshine of the Spotless Mind,1h 48m,"Drama,Romance,Sci-Fi"
96. Jagten,1h 55m,Drama
94. Star Wars: Episode VI - Return of the Jedi,2h 11m,"Action,Adventure,Fantasy"
98. Reservoir Dogs,1h 39m,"Crime,Thriller"
92. Idi I Smotri,2h 22m,"Drama,Thriller,War"
93. Toy Story 3,1h 43m,"Animation,Adventure,Comedy"
